program,genes,size,active_in,name,description
P11,"Mir9-2hg, Gm56811, Mir124-2hg, Scube2, Pax6, Rfx4, Sox2ot, Pou3f3, Gm30340, Gm32061, Ptprn2, Nlgn1, Fabp7, Adgrv1, Hes3, Sox21, Sox2, Nrcam, Fgf14, Gm54109, Foxb1, Zfp536, Hes5, Sox1, Dcc, Fgfbp3, Nell2, Fez1, Ildr2, Srgap3, Sema5b, Fam181b, Fam181a, Ptprz1, Apba2, Tox2, Rprm, Celsr2, Gbx1, Sp8, Itgb8, Tox, Lrrn1, Pantr1, Pdzph1, Fmn2, Npas3, B230323A14Rik, Kif21a, Slc35f1, Frmd5, Adgrb3, Eml5, Fat3, ENSMUSG00000123858, Nsg2, Adgrg1, Dtx4, Tox3, Jam2, Hspa4l, Nedd9, Wscd1, Plch1, Cacng4, Fut9, Rims2, Sfrp2, Mycl, Zbtb16, Fgfr3, Ajap1, Celsr1, Dpysl5, 1500004A13Rik, Plxnc1, Fhod3, Nes, Epb41l4a, Gldc, Cntfr, Tubb2b, Dock3, Uchl1, Ctnnd2, Jakmip2, Nova1, Phf21b, Cdh4, Sox1ot, Gm42695, Csrnp3, Fam171b, Slain1, Nav2, Emid1, Map1b, Celf2, Cenpv, Zswim5, Phyhipl, Cxcr4, Kif1a, Slco5a1, Scg5, Ppm1e, Spata13, Ptpro, Nuak2, Adgrb1, Sox21os1, Astn1, Septin3, Wnk2, Cdh2, Ddr1, Trim2, Otud7a, 2610307P16Rik, Ccdc88c, Rgma, Nrxn2, Ark2c, Chd3, Zeb2, Pard3b, Npdc1, Rb1, Unc13b, Mapk4, Cadm4, Peg12, Tafa5, Msi1, Eml1, Atp8a1, Tspan13, Ppm1l, Zfp811, Fgd4, Ago1, Mtcl1, Elovl2, Tbc1d9, Acot7, Pak1, Mkrn1, Kif5c, Zc3h12c, Arnt2, Tspan5, Zfp41, Prom1, Wasf3, Fsd1l",155,"Cranial motor neuron, Diencephalon, Floor plate, Hindbrain (isthmic organizer), Hindbrain (r1), Hindbrain (r2-r4), Hindbrain (r5-r8), Hypothalamic neuron, Hypothalamus, Midbrain, Midbrain neuron, Somatic motor neuron, Spinal cord (cervical), Spinal cord (thoracic), Spinal cord interneuron, Telencephalon",CNS Neural Progenitor,"Defines neural progenitor and radial glial identity across the entire central nervous system. Core markers include Sox1/2, Hes3/5, Nes, Fabp7, Msi1, Pax6, and Prom1, along with Notch pathway effectors that maintain the progenitor state. Accompanying axon guidance genes (Dcc, Sema5b, Rgma), neuronal cadherins (Cdh2/4, Nrcam), and cytoskeletal regulators (Map1b, Tubb2b, Kif5c) reflect the transition from progenitor to early neuron across spinal cord, hindbrain, midbrain, and forebrain regions."
P12,"Glra1, Prdm8, Rhbdl3, Neurog2, Elavl3, Nckap5, Miat, Srrm4, Prmt8, Neurod4, St18, Nhlh2, D930028M14Rik, Clvs1, Myt1, Tubb3, Elavl4, Scg3, Neurog1, Gm16551, Gm26871, Myo16, Stmn3, Brsk2, Nhlh1, Trp53i11, Srrm3, Celf3, Btbd17, Nfasc, Pou2f2, Slc1a2, Rbfox3, Map2, Nova2, Gm12239, Plk3, Stmn4, Onecut2, Onecut1, Dpysl4, Mfng, Prox1, Zbtb18, Mtcl3, Syt2, Tagln3, Chrna4, Elavl2, Rtn1, Snap25, Cadps, Add2, Olfm2, Unc79, Frmd4b, Gdap1, Smpd3",58,"Cranial motor neuron, Dorsal root ganglion neuron, Hypothalamic neuron, Midbrain neuron, Olfactory sensory neuron, Somatic motor neuron, Spinal cord interneuron, Trigeminal ganglion neuron",Neuronal Differentiation,"Core pan-neuronal differentiation program encompassing proneural transcription factors (Neurog1/2, Neurod4, Nhlh1/2, Myt1), neuronal RNA-binding and splicing regulators (Elavl2/3/4, Rbfox3, Nova2, Srrm3/4), cytoskeletal markers of post-mitotic neurons (Tubb3, Map2), and synaptic machinery (Snap25, Syt2, Cadps). Active broadly across central and peripheral neuronal subtypes, this program drives the transition from neural progenitor to mature neuron, establishing neuronal identity, polarity, and synaptic competence."
P13,"Tlx2, Neurod1, Thsd7b, Ntrk1, Kcnmb2, Pou4f1, Cerkl, Tlx3, Ppp1r17, Kif19a, Coro2a, Insm1, Tmem178b, Sncb, Inka2, Nefl, Npr2, Wscd2, Kcnh1, Mreg, Ttll7",21,"Dorsal root ganglion neuron, Dorsal root ganglion progenitor, Epibranchial sensory neuron, Otic sensory neuron, Trigeminal ganglion neuron, Trigeminal sensory neuron",Sensory Neuron Identity,"Drives differentiation and maturation of peripheral sensory neurons across cranial and spinal ganglia. Core transcription factors Pou4f1 (Brn3a), Neurod1, Tlx3, and Insm1 establish sensory neuron fate, while Ntrk1 (TrkA) and Npr2 mediate neurotrophin signaling and axon guidance, and Nefl and Sncb reflect neuronal maturation. This program is shared across neural crest- and placode-derived sensory lineages including DRG, trigeminal, epibranchial, and otic neurons."
P14,"Otx2, Otx2os1, Otx1, Tal2, Cdh8, Erbb4, Pou3f1, Lrrc4c, Dmbx1, Cdh20, Mylk, Lmo3, Nalcn, Sorbs2, Dok6, 2510009E07Rik, Sall2, Dhx32",18,"Diencephalon, Hypothalamus, Midbrain, Midbrain neuron, Telencephalon",Otx1/2 Anterior Brain ID,"Defines anterior brain (forebrain–midbrain) identity through the master regulators Otx1 and Otx2, which specify rostral neuroectoderm and maintain the forebrain/midbrain territory against caudal fates. Supporting transcription factors (Dmbx1, Tal2, Pou3f1, Lmo3, Sall2) and region-specific cadherins (Cdh8, Cdh20) reinforce regional patterning and early neuronal differentiation across the diencephalon, hypothalamus, midbrain, and telencephalon."
P15,"Foxg1, Six3os1, Nr2e1, Six6, Lhx2, Six3, Rax, 3110039M20Rik, Fezf1, Gm56925, Fzd5, C130093G08Rik, Shtn1, Shisa2, Gm26709, Mpped1, Cadps2",17,"Eye field, Hypothalamus, Olfactory placode, Olfactory sensory neuron, Telencephalon",Rostral Forebrain/Eye Field,"Defines anterior forebrain and eye field identity through the core eye field transcription factor network (Six3, Six6, Rax, Lhx2) together with the telencephalic determinant Foxg1 and forebrain regulators Nr2e1 and Fezf1. This program specifies the rostral-most neural plate derivatives—eye field, hypothalamus, telencephalon, and olfactory placode—reflecting their shared origin from the anterior neural plate and common dependence on this TF regulatory module during E7.5–E10 patterning."
P16,"Gm29478, Zic1, Zic4, Wnt1, Cp, Nrg3, Zic5, ENSMUSG00000143513, Gm29266, Zic2, Gm5089, Galnt12, Gm56769, Gm57142, Clybl",15,"Diencephalon, Roof plate",Roof Plate Zic/Wnt1,"Dorsal midline neural tube program dominated by four Zic family transcription factors (Zic1/2/4/5) and the roof plate morphogen Wnt1. Active in the diencephalon and roof plate, this program specifies dorsal neural tube identity and maintains roof plate signaling, which patterns adjacent neural progenitors along the dorsoventral axis."
P17,"Wnt8b, Fezf2, Emx2, Gm3764, Lhx5, Dmrta2, Dmrt3, Wnt7b, Emx1, Cntnap2, Emx2os, Mir9-3hg, Dmrta1, E330013P04Rik",14,Telencephalon,Dorsomedial Telencephalon,"Specifies dorsomedial telencephalic identity, encompassing the cortical hem and dorsal pallium. Emx1/Emx2 and Dmrta1/Dmrta2/Dmrt3 establish dorsal pallial fate, Fezf2 contributes to cortical neuron specification, and Wnt8b/Wnt7b provide cortical hem-derived Wnt signals that pattern the medial telencephalon. Together these genes define the dorsomedial signaling and transcriptional program that drives early cortical regionalization."
P18,"En2, Pax5, Cnpy1, En1, 2610027F03Rik, Pax8, Pax2, Pcp4l1, Gm26608, Cldn10, Flrt1, Klhl14",12,Hindbrain (isthmic organizer),Isthmic Organizer,"Defines the midbrain-hindbrain boundary (isthmus) organizer identity through the core En1/En2 and Pax2/Pax5/Pax8 transcription factor network, with Cnpy1 supporting FGF signaling. This program establishes and maintains the signaling center that patterns the adjacent midbrain tectum and cerebellar anlage during neural tube regionalization."
P19,"Nkx2-9, Nkx6-1, Nkx6-2, Nkx2-2, Gm38103, Vit, Spon1, Clec2l, Rnf220, Kbtbd11, Tmtc2, Ptch1",12,"Cranial motor neuron, Floor plate",Ventral NT Nkx/Shh Patterning,"Specifies ventral neural tube identity through a battery of Nkx-class homeodomain transcription factors (Nkx2-2, Nkx2-9, Nkx6-1, Nkx6-2) acting downstream of Hedgehog signaling (Ptch1, Rnf220). Active in floor plate and cranial motor neurons, this program defines the p3 progenitor domain and floor plate fate, with Spon1 and Vit serving as floor plate effector genes involved in axon guidance and extracellular matrix organization."
P20,"9030622O22Rik, Shh, Foxa2, Foxa1, Vtn, Pkd1l1, Calca, Cobl, Ttc6, 9530036O11Rik, Arhgef28",11,"Floor plate, Foregut, Midgut, Notochord",Shh-Foxa2 Ventral Midline,"Defines the ventral midline signaling identity shared by floor plate, notochord, and gut endoderm. Shh and the pioneer transcription factors Foxa2/Foxa1 form the core of this program, establishing the axial midline as a key organizer of dorsoventral patterning. Additional genes such as Pkd1l1 (node/notochord left-right signaling) and cytoskeletal regulators (Cobl, Arhgef28) reflect the specialized morphogenetic properties of these midline and endodermal cell types."
P21,"Msx3, Olig3, Prdm13, ENSMUSG00000139468, ENSMUSG00000139384, Grid2, Casz1, Draxin, Nppc",9,"Hindbrain (r1), Hindbrain (r2-r4), Hindbrain (r5-r8), Roof plate, Spinal cord (cervical), Spinal cord interneuron",Dorsal Neural Tube Patterning,"Defines dorsal identity across the hindbrain and spinal cord neural tube. Msx3 and Draxin mark the dorsal midline/roof plate, while Olig3 and Prdm13 specify dorsal interneuron progenitor domains (dP1–dP6), and Casz1 contributes to neural temporal identity. This program reflects the shared dorsal patterning logic that operates along the full rostro-caudal axis of the developing CNS."
P22,"Sorcs1, Slc25a21, Shc3, D030055H07Rik, Glis3, Dtna, Pea15a",7,"Diencephalon, Eye field, Floor plate, Hindbrain (isthmic organizer), Hindbrain (r1), Hypothalamus, Midbrain, Otic placode, Primitive erythrocyte, Roof plate, Telencephalon",Pan-Neural Signaling,"A broadly active neural program spanning nearly all CNS regions (telencephalon through hindbrain), midline signaling centers (floor plate, roof plate, isthmic organizer), and cranial placodes. The program features neuronal signaling modulators—Shc3 (neuron-specific adaptor coupling neurotrophin/Ret receptors to survival pathways), Pea15a (ERK/MAPK pathway regulator enriched in brain), and Sorcs1 (neuronal receptor trafficking)—alongside the neural transcription factor Glis3 and the dystrophin-complex component Dtna. Together these genes suggest a heritable program that broadly establishes neural signaling competence across the developing CNS."
P23,"Pcdh8, Dll1, Nrarp, Notch1, Epha4, Lama1",6,"Nascent somite, Presomitic mesoderm",Notch Somite Segmentation,"Notch signaling program driving the somite segmentation clock and boundary formation in paraxial mesoderm. Core pathway components (Dll1, Notch1) and the oscillatory feedback regulator Nrarp coordinate periodic somite formation in the presomitic mesoderm, while Epha4 and Pcdh8 mediate boundary cell sorting and Lama1 contributes to basement membrane deposition at newly formed somite borders."
P24,"Ednrb, Megf10, Dpysl3, Tspan18, Crip2, Vim",6,"Allantoic endothelial progenitor, Arterial endothelial cell, Autonomic neuron, Autonomic progenitor, Endocardial cell, Endothelial cell, Trunk neural crest, Vagal neural crest",Ednrb+ Migratory Mesenchyme,"A migratory mesenchymal program shared between neural crest and endothelial lineages, centered on endothelin receptor B (Ednrb) signaling. The program includes cytoskeletal and migration effectors (Vim, Dpysl3, Crip2) alongside membrane-organizing and adhesion factors (Tspan18, Megf10), supporting the motile, invasive behavior common to both migrating neural crest cells and angiogenic/vasculogenic endothelium during mid-gestation development."
P25,"Stmn2, Ina, Nrxn1, Rab6b, Crmp1, Gabrb3",6,"Cranial motor neuron, Dorsal root ganglion neuron, Hypothalamic neuron, Midbrain neuron, Olfactory sensory neuron, Somatic motor neuron, Spinal cord interneuron, Trigeminal ganglion neuron",Neuronal Maturation,"A pan-neuronal maturation program active across diverse CNS and PNS neuron types. It encodes cytoskeletal regulators of axon growth (Stmn2, Ina, Crmp1), a synaptic adhesion molecule (Nrxn1), a neuron-enriched vesicular trafficking GTPase (Rab6b), and a GABA-A receptor subunit (Gabrb3), collectively driving post-mitotic neuronal differentiation, axonogenesis, and early synaptogenic competence."
P26,"Lhx4, Stk32a, Mnx1, Cntn2, Nyap2, Scrt2",6,Somatic motor neuron,Mnx1/Lhx4 Motor Neuron ID,"Specifies somatic motor neuron identity through the LIM-homeodomain transcription factor code. Mnx1 (Hb9) and Lhx4 are canonical determinants of spinal motor neuron fate, while Scrt2 supports neuronal differentiation and Cntn2 mediates motor axon guidance and fasciculation. Together, this program consolidates motor neuron subtype identity and axonal connectivity."
P27,"Thsd7a, Ctnna2, Adcyap1r1, Rassf4, Akap6, Dpp6",6,"Cranial motor neuron, Floor plate, Hypothalamic neuron, Midbrain neuron, Spinal cord interneuron",Ventral CNS Neuron Maturation,"Program associated with neuronal maturation in ventral CNS cell types, including motor neurons, floor plate, and ventral brain regions. It combines neuron-specific adhesion (Ctnna2), ion channel modulation (Dpp6, a Kv4 auxiliary subunit), neuropeptide signaling (Adcyap1r1/PAC1 receptor), and cAMP/PKA scaffolding (Akap6), together supporting the acquisition of mature neuronal properties such as excitability, synaptic connectivity, and axonal organization in ventral neural tube derivatives."
P28,"Trpm1, Slc38a8, Cntn6, A730049H05Rik, Mitf",5,Eye field,MITF RPE Specification,"Retinal pigment epithelium (RPE) identity program driven by Mitf, the master transcription factor for RPE and melanocyte lineages. Includes direct MITF targets Trpm1 and Slc38a8, both associated with pigment epithelium function and optic development. This program likely governs early RPE fate specification within the eye field, linking melanogenic gene regulation to neuroepithelial patterning of the optic vesicle."
P29,"Vstm2b, Gm19872, Ephb1, Sfrp1, Frat2",5,"Definitive endoderm, Forebrain, Hindbrain, Hindbrain (isthmic organizer), Hindbrain (r1), Hindbrain (r2-r4), Hypothalamus, Telencephalon",Neural Wnt Modulation,"Regulates Wnt signaling tone during brain regionalization. Sfrp1 (Wnt antagonist) and Frat2 (GSK3β inhibitor promoting Wnt) provide opposing Wnt modulatory inputs, while EphB1 and Vstm2b contribute to neural patterning. Active across forebrain, hindbrain, and isthmic organizer, consistent with the graded Wnt signaling that establishes anterior-posterior neural identity."
P30,"Irx2, Irx1, Irx5, Irx3, Crnde",5,"Anterior mesoderm, Diencephalon, Enteroendocrine progenitor, Hindbrain, Hindbrain (r1), Hindbrain (r2-r4), Midbrain, Nascent mesoderm, Spinal cord (cervical), Spinal cord (lumbar), Trigeminal sensory neuron",Irx Neural Patterning,"Encodes four Iroquois homeobox transcription factors (Irx1/2/3/5) from both the IrxA and IrxB genomic clusters, along with Crnde, a lncRNA embedded within the IrxB locus. Irx genes are master regulators of regional identity along the neural tube, specifying intermediate and dorsal domains in the spinal cord and establishing boundaries between brain compartments (diencephalon, midbrain, hindbrain). Activity across broad CNS regions and nascent/anterior mesoderm reflects the conserved role of Irx factors in anteroposterior and dorsoventral patterning during early organogenesis."
P31,"Sfta3-ps, Nkx2-1, Nkx2-4, ENSMUSG00000130333",4,Hypothalamus,Nkx2-1/2-4 Hypothalamic TF,"Encodes the Nkx2-1 and Nkx2-4 homeobox transcription factor program specifying ventral forebrain and hypothalamic identity. Nkx2-1 is a master regulator of hypothalamic primordium development, and Nkx2-4 acts as a closely related paralog in the same domain. Co-expression of Sfta3-ps likely reflects the broader Nkx2-1 regulatory network."
P32,"Pax3, Pax7, Boc, Cdon",4,"Dermomyotome, Hindbrain (r1), Hindbrain (r5-r8), Hypaxial myogenic progenitor, Roof plate, Sacral neural crest, Spinal cord (cervical)",Pax3/7 Dorsal Progenitor,"Defines the Pax3/Pax7 transcription factor program active in dorsal progenitor domains, including the dermomyotome, dorsal neural tube, and neural crest. Boc and Cdon are Hedgehog co-receptors co-expressed with Pax3/7 in these tissues, where they modulate Shh responsiveness in dorsally positioned progenitors. This program underlies the shared regulatory identity of myogenic progenitors, roof plate, and dorsal spinal cord cells."
P33,"Wfdc1, Mab21l2, Egfem1, Gm37965",4,"Diencephalon, Eye field, Lens placode, Midbrain, Midbrain neuron",Mab21l2+ Eye-Midbrain,"Program centered on Mab21l2, a transcription factor essential for optic cup and lens morphogenesis, active across the eye field, lens placode, diencephalon, and midbrain. This program likely reflects a shared anterior neural plate regulatory module linking eye and midbrain specification, consistent with the developmental origin of the optic vesicle from the diencephalon."
