,subtype_id,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers
14,11,Dorsal root ganglion progenitor,Dorsal root ganglion progenitor,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",1703,"Ppp1r14a, Cadm1, Srrm4, Crabp2, Dcc, Pou4f1, Eya2, Tmsb4x, Galnt18, Nrp1","Crabp2, Dcc, H1f5, Top2a, Igfbpl1, Plk2, Gadd45g, Mki67, H1f4, Crabp1"
15,12,Sacral neural crest,Sacral neural crest,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0",3567,"Pax3, Tfap2b, Sox9, Ets1, Cdh6, Mest, Foxd3, Sox5, Slc35f1, Hoxb9","Sox9, Pak3, Greb1l, Hoxc10, Slc35f1, Tanc2, Dmd, Aldh1a2, Plagl1, Ccn1"
16,13,Trunk neural crest,Trunk neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",11543,"Cdh6, Dcc, Tfap2b, Crabp2, Hoxb9, Metrn, Rbms3, Plp1, Pax3, Foxd3","Hoxb9, Hoxb8, Hoxa7, Hoxc6, Tshz2, Tmem132c, Hoxb5os, Hoxc8, Hoxa9, Dcc"
17,14,Vagal neural crest,Vagal neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",9686,"Cdh6, Crabp1, Tfap2b, Crabp2, Metrn, Zeb2, Dcc, Ednrb, Tnik, Sox10","Hoxb4, Rarb, Rbp1, Tshz2, Crabp1, Spon1, Nrp1, Sfrp5, Tshz1, Hoxb3"
18,15,Forebrain,Forebrain,Early,Neural ectoderm,Ectoderm,E8.0,1722,"Dnmt3b, Slc2a1, Hesx1, Pou3f1, Sox2, Slc2a3, Otx2, Pim2, Emb, Greb1l","Hesx1, Six3, Shisa2, Epha7, Otx2, Mest, Lhx5, Greb1l, Lmo1, Kif21a"
19,16,Hindbrain,Hindbrain,Early,Neural ectoderm,Ectoderm,E8.0,1111,"Dnmt3b, Pou5f1, Slc2a3, Ptn, Slc2a1, Ezr, Greb1l, Lin28a, Sox3, Akr1b1","Meis2, Ptn, Crabp1, Npas3, Epha4, Irx3, Id2, Mast4, Map1b, Greb1l"
20,17,Spinal cord,Spinal cord,Early,Neural ectoderm,Ectoderm,E8.0,2990,"Slc2a1, Cdx1, Pou5f1, Nr6a1, Slc2a3, Hotairm1, Grsf1, Cdx2, Hoxa1, Sema3e","Cdx1, Hotairm1, Hoxaas3, Crabp2, Grsf1, Sema3e, Epha5, Hoxa1, Ncam1, Fgfbp3"
21,18,Diencephalon,Diencephalon,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",23872,"Erbb4, Dcc, Adgrv1, Otx2, Sox2, Gm56811, Kif21a, Otx2os1, Npas3, Mecom","Erbb4, Dcc, Mecom, Rspo3, Pax6, Tcf7l2, Otx2, Otx2os1, Nr2f2, Slit2"
22,19,Eye field,Eye field,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",20140,"Nlgn1, Lhx2, Egfem1, Six3os1, Six6, Six3, Pdzrn3, Adgrv1, Shisa2, Efna5","Nlgn1, Egfem1, Pdzrn3, Six6, Meis1, Pax2, Cdh11, Id2, Col9a1, Tenm2"
23,20a,Floor plate (posterior),Floor plate,Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",19520,"Adgrv1, Ntn1, Spon1, Rfx4, Fgf14, Slit1, Npas3, Ckb, Fat3, 9030622O22Rik","Spon1, Slit1, Slit3, Sox6, Ntn1, 9030622O22Rik, Peg3, Frmd4b, Slit2, Cdh6"
24,20b,Floor plate (anterior),Floor plate,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",15215,"Adgrv1, Rfx4, Sulf1, Ntn1, Spon1, Slit2, Npas3, Erbb4, Sox2, Fat3","Sulf1, Samd5, Slit2, Dkk2, 9030622O22Rik, Lrtm1, Ephb2, Ntn1, Cald1, Foxp2"
25,21,Hypothalamus,Hypothalamus,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",18557,"Erbb4, Sfta3-ps, Mest, Cdh6, Sox2, Nkx2-1, Dlk1, Spon1, Adgrv1, Lhx2","Gpc3, Sfta3-ps, Foxd1, Cdkn1c, Fndc3c1, Nkx2-1, Cdh6, Erbb4, Dbx1, Nkx2-4"
26,22,Midbrain,Midbrain,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",42185,"Adgrv1, Otx2, Erbb4, Ildr2, Adgrb3, Sox2, Rfx4, Npas3, Otx2os1, Efna2","Meis2, Otx2, Efna2, Otx2os1, Tal2, Mab21l2, Efna5, Nckap5, Ano1, Tmem132c"
27,23a,Roof plate (posterior),Roof plate,Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",5368,"Pax3, Msx1, Glis3, Ptn, Crabp2, Rspo3, Rfx4, Nrg3, Zic2, Wnt1","Aldh1a2, Pax3, Wnt1, Msx1, Tagln2, Glis3, Cdh6, Unc5c, Rspo3, Dmd"
28,23b,Roof plate (anterior),Roof plate,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",6251,"Colec12, Mafb, Ctnna2, Nkain3, Mir100hg, Zic2, Wls, Slit2, Glis3, Msx1","Colec12, Nkain3, Mafb, Nfia, Ctnna2, Cdh11, Pcdh7, Sdk1, Eya4, Cdkn1c"
29,24a,Telencephalon (dorsal),Telencephalon,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",65188,"Lhx2, Sox2, Gli3, Igfbp2, Mecom, Npas3, Ptprz1, Mest, Ptn, Crabp2","Dach1, Igfbp2, Lhx2, Emx2, Sema6a, Robo2, Hmga2, Gli3, Ptprz1, Dmrta2"
30,24b,Telencephalon (ventral),Telencephalon,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",7277,"Dlk1, Lhx2, Foxg1, Nkx2-1, Mest, Npas3, Nnat, Sox2, Mecom, Ccnd1","Dlk1, Foxg1, Nnat, Nkx2-1, Aff2, Prdm16, Ano1, Mecom, Clstn2, Ephb1"
31,25,Hindbrain (isthmic organizer),Hindbrain (isthmic organizer),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",9304,"Pax5, Ptn, En2, En1, Rmst, Fgf8, Adgrv1, Fgf14, Adgrb3, Ccnd2","Pax5, Fgf8, En1, En2, Il17rd, Ptn, Fgf17, 2610027F03Rik, Pax8, Cnpy1"
32,26,Hindbrain (r1),Hindbrain (r1),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",33182,"Adgrv1, Npas3, Ildr2, Sfrp2, Rfx4, Gm56811, Fat3, Sox2, Ptn, Fabp7","Slc44a5, Nebl, Mapk10, Sfrp2, Dab1, Pax5, En2, Ctnna2, Id2, Unc5c"
33,27,Hindbrain (r2-r4),Hindbrain (r2-r4),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",51467,"Crabp1, Adgrv1, Fat3, Crabp2, Sfrp2, Gm56811, Rfx4, Sox2, Sfrp1, Ildr2","Crabp1, Cyp26b1, Epha7, Tenm2, Epha4, Nr2f2, Mest, Erbb4, Sfrp1, Meis2"
34,28,Hindbrain (r5-r8),Hindbrain (r5-r8),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",51649,"Npas3, Adgrv1, Crabp2, Fat3, Rfx4, Rarb, Zfp536, Gm56811, Tox, Ckb","Rarb, Zfp536, Hoxb3, Tox, Npas3, Glra1, Dach1, Gm29478, Igfbp2, Hoxd4"
35,29a,Visceral motor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",3174,"Tubb3, Ebf1, Phox2b, Ctnna2, Crabp1, Elavl4, Rtn1, Cacna2d1, Nkx6-1, Stmn2","Hoxb4, Meis2, Hoxb3, Crabp1, Prkce, Tshz3, Hoxc4, Fgf13, Enox2, Cacna2d1"
36,29b,Facial branchiomotor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",973,"Tubb3, Ebf1, Crabp1, Phox2b, Cacna2d1, Rtn1, Ebf2, Nkx6-1, Nefl, Ctnna2","Mybpc1, Gata2, Hoxb1, Hoxb3os, Nalf1, Phox2a, Ccnd1, Phox2b, Fat3, Lhfpl6"
37,29c,Oculomotor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",182,"Phox2b, Tubb3, Elavl4, Ebf1, Nkx6-1, Ctnna2, Plxna4, Fgf14, St18, Phox2a","Sox2ot, Nav3, Ptn, Pax5, Fgf14, Gal, Hdac9, Plxna4, Eya1, Peg3"
38,29d,Trigeminal branchiomotor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",1346,"Ebf1, Tubb3, Phox2b, Ctnna2, Nkx6-1, Elavl4, Ebf2, Isl1, Stmn2, St18","Cdh12, Tbx20, Gm26871, Akap6, Dpyd, Nrp1, Igfbp5, Sox1, Homer2, Rassf4"
39,29e,Trochlear neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",277,"Kcnb2, Tubb3, Ebf1, Phox2a, Plcb1, Elavl4, Nkx6-1, Phox2b, Myo16, Map2","Plcb1, Kcnb2, Phox2a, Ccnd2, Cacna2d3, Galnt18, Dlc1, Hs3st4, Eya2, Stxbp6"
40,30a,Hypothalamic neuron,Hypothalamic neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",1718,"Dcc, Tubb3, Map2, Sox2ot, Cdkn1c, Dlk1, Pak3, Srrm4, Ctnna2, Grik2","Dlk1, Sox2ot, Isl1, Peg3, Sox5, Smoc1, Rian, Grik2, Sox6, Fndc3c1"
41,30b,Paraventricular hypothalamic neuron,Hypothalamic neuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",419,"Dcc, Tubb3, Sim1, Robo1, Cacna2d1, Map2, Nnat, Tmem163, Igfbpl1, Pak3","Sim1, Cacna2d1, Tenm4, Otp, Tmem163, Robo1, Ccnd2, Kirrel3, Nnat, Edil3"
42,30c,Subthalamic nucleus neuron,Hypothalamic neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",1395,"Dcc, Tubb3, Map2, Ebf1, Onecut2, Sim1, Thsd7a, Stmn2, Map1b, Myo16","9030622O22Rik, Rnf220, Fbxl7, Pitx2, Tmem163, Fat3, Nova1, Sim1, Tenm2, Foxp2"
43,31a,Midbrain GABAergic neuron,Midbrain neuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",230,"Pak3, Nav2, Nrxn3, Cacna2d3, Thsd7a, Tubb3, Tal2, St18, Epha5, Zfpm2","Cacna2d3, Tal2, Nrxn3, Nav2, Lhx1, Zfpm2, Gata2, Epha5, Dscam, Pdzrn4"
44,31b,Midbrain neuron,Midbrain neuron,Neuron,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",7392,"Tubb3, Crabp1, Dcc, Onecut2, Map2, Stmn2, Ctnna2, Nav3, Srrm4, Map1b","Nav3, Tfap2b, Otx2, Prkg1, Crabp1, Ccnd2, Lef1, Armh4, Arhgap28, Tenm3"
45,32,Somatic motor neuron,Somatic motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",12734,"Slit3, Cacna2d1, Elavl4, Robo2, Isl1, Tubb3, Srrm4, Myo16, Gng2, Hecw2","Tenm3, Stk32a, Hecw2, Dach2, Mnx1, Mir100hg, Slit3, Sox2ot, Aff3, Cacna2d1"
46,33a,V0 interneuron,Spinal cord interneuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",5078,"Dcc, Crabp1, Ebf2, Srrm4, Tubb3, Pou3f2, Igfbpl1, Frmd4b, Nckap5, Srgap3","Dbx1, Ccnd1, Irx3, Neurog1, Igfbpl1, Robo1, Pde1c, Irx5, Dusp4, Lhx5"
47,33b,V1 interneuron,Spinal cord interneuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",3993,"Dcc, Crabp1, Nlgn1, Elavl4, Tubb3, Srrm4, Onecut2, Tmsb4x, Pax2, Nhlh2","Pax2, Nlgn1, Cacna2d3, Jag1, Rnf220, Foxd3, Ccnd1, Ass1, En1, Lhx1"
48,33c,V2 interneuron,Spinal cord interneuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",2190,"Dcc, Crabp1, Tubb3, Ina, Onecut2, Ebf1, Stmn2, Elavl4, St18, Dcx","Zfpm2, St18, Ina, Pcdh17, Gata2, Esrrg, Ebf1, Ank3, Crabp1, Sox21"
49,33d,V3 interneuron,Spinal cord interneuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",616,"Map2, Ebf1, Tubb3, Dcc, Frmd4b, Nckap5, Pou3f2, Igfbpl1, Srrm4, Pde4d","Pde4d, Sim1, Hoxb9, Pam, Rora, Nkx2-2, Neurog3, 9030622O22Rik, Galnt18, Csrnp3"
50,33e,Dl1 interneuron,Spinal cord interneuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",3216,"Dcc, Nav2, Crabp1, Srrm4, Map2, Rassf4, Tubb3, Ebf2, Pou3f2, Epha5","Atoh1, Epha5, Gria4, Cntn2, Adgrl3, Rassf4, Barhl1, Nkd1, Ptn, Pdzrn3"
51,33f,Dl2-6 interneuron,Spinal cord interneuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",9759,"Dcc, Crabp1, Nav2, Map2, Tubb3, Srrm4, Nckap5, Onecut2, Ckb, Gadd45g","Tfap2b, Pax3, Smoc1, Map2, Nckap5, Tfap2a, Ptn, Nav2, Tspan18, Msx3"
52,33g,Spinal cord interneuron progenitor,Spinal cord interneuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",4740,"Dcc, Ebf2, Nckap5, Frmd4b, Rnf220, Srrm4, Ccnd1, Pou3f2, Gadd45g, Glra1","Ccnd1, Top2a, Rrm2, Nkx6-1, Hmgb2, Mki67, Pclaf, Mybl1, Dut, Atad2"
53,34,Spinal cord (cervical),Spinal cord (cervical),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",74734,"Crabp2, Npas3, Rarb, Adgrv1, Dcc, Ckb, Pou3f2, Rfx4, Fat3, Mir100hg","Rarb, Tshz1, Hoxa5, Metrn, Hoxd4, Hoxb8, Hoxb3, Igfbp2, Hoxb4, Ckb"
54,35,Spinal cord (lumbar),Spinal cord (lumbar),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0, E8.5",22368,"Greb1l, Mllt3, Fat3, Hoxc10, Pard3b, Ccnd2, Slc2a1, Crabp2, Ncam1, Ptn","Greb1l, Robo2, Hoxc10, Thsd4, Mllt3, Tmem132c, Hoxaas3, Slc2a3, Fam181b, Sema3a"
55,36,Spinal cord (sacral),Spinal cord (sacral),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E9.5, E10.0, E9.0",8080,"Hoxd11, Hoxc10, Ncam1, Greb1, Mllt3, Hoxa11os, Cdx4, Hoxa10, Slc2a3, Wnt5a","Hoxd11, Hoxa11os, Kirrel3, Foxd1, Hoxc10, Hoxa10, Ncam1, Wnt5a, Igfbp2, Hoxc11"
56,37,Spinal cord (thoracic),Spinal cord (thoracic),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",73676,"Ccnd2, Hoxb9, Fat3, Crabp2, Sox2, Sox2ot, Adgrv1, Rfx4, Pou3f2, Adgrb3","Hoxb9, Hoxc8, Hoxb5os, Ccnd2, Adgrb3, Hoxa7, Hoxa9, Hoxc9, Hoxb8, Maml3"
57,38,Epibranchial placode,Epibranchial placode,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",10158,"Epcam, Hs6st3, Igfbp5, Galnt3, Spint2, Npnt, Hs6st2, Wfdc2, Meis2, Slit2","Hs6st3, Prrx2, Galnt3, Hoxb2, Slit2, Arg1, Dach1, Foxi2, Crabp2, Tshz2"
58,39,Epibranchial sensory neuron,Epibranchial sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",2832,"Nefl, Thsd7b, Neurod1, Tubb3, Phox2b, Phox2a, Nefm, Igfbpl1, Isl1, Ebf1","Phox2b, Phox2a, Nefl, Igfbpl1, Plxna4, Alcam, Eeig2, Nefm, Itpr1, Mybpc1"
59,40a,Epidermal progenitor (anterior),Epidermal progenitor,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",15192,"Pdgfa, Epcam, Igfbp2, Igfbp5, Trp63, Pcdh7, Hs6st2, Krt18, Frem2, Meis2","Dlk1, Pitx1, Csrp2, Pitx2, Vcan, Epha4, Fgf8, Ccnd2, Pcdh7, Hs6st2"
60,40b,Epidermal progenitor (posterior),Epidermal progenitor,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",37614,"Pdgfa, Hapln1, Epcam, Wnt6, Slc2a3, S100a11, Perp, Bcam, Dag1, Egr1","Hapln1, Peg10, Sdk1, Mgat5, Cadm1, Cxcl14, Frmd4b, Parp8, Hs6st3, Hoxc8"
61,41,Lens placode,Lens placode,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",4716,"Aldh1a3, Pcdh9, Sema3a, Tenm2, Dab1, Epcam, Sostdc1, Ctnnd2, Egfem1, Ikzf2","Aldh1a3, Pcdh9, Tenm2, Lingo2, Egfem1, Dab1, Mgarp, Hmx1, Zfhx4, Trpm3"
62,42,Olfactory placode,Olfactory placode,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",12536,"Epcam, Dlk1, Igfbp2, Mest, Dlx5, Sox2, Spint2, Pdgfa, Cldn7, Mecom","Dlk1, Mecom, Sox2ot, Sox2, Kcnd2, Lgr4, Six3, Six3os1, Ccdc171, Mir99ahg"
63,43,Olfactory sensory neuron,Olfactory sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.5, E10.0",814,"Dcc, Tubb3, Elavl4, Ebf2, Neurod1, Gadd45a, Igfbpl1, Insm1, Tamalin, Robo2","Krt8, Gadd45a, Spint2, Epcam, Nfib, Cep152, Cadm1, Dscaml1, Eya2, Zmat4"
64,44,Otic placode,Otic placode,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",6037,"Epcam, Trpm3, Ptn, Wfdc2, Bmpr1b, Ror1, Sox9, Ccser1, Lmx1a, Spint2","Ptn, Trpm3, Sox9, Unc5c, Lmx1a, 2610035D17Rik, Dach1, Bmpr1b, Rtn1, Ror1"
65,45,Otic sensory neuron,Otic sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",2170,"Neurod1, Thsd7b, Cadm1, Ebf1, Ppp1r14a, Tubb3, Ccnd1, Cotl1, Six1, Tmsb4x","Ccnd1, Fgf10, Bdnf, Kirrel3, Gfra1, Greb1l, Zfpm2, Irx1, Palld, Celf2"
66,46,Pre-placodal ectoderm,Pre-placodal ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.5, E9.0",4934,"Slc2a3, Epcam, Aldh1a3, Krt18, Sema3a, Spint2, Wfdc2, Cldn6, Igfbp5, Krt8","Aldh1a3, Map1b, Sema3a, Pcdh9, Phlda1, Nr2f1, Gas1, Zfhx4, Pkdcc, Sulf1"
67,47a,Apical ectodermal ridge,Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.5, E10.0",4521,"Fgf8, Adamts18, Pdgfa, Igfbp5, Epcam, Egr1, Hs6st3, Bambi, Wnt6, Fmn1","Fgf8, Bambi, Adamts18, Wnt5a, Hs6st3, Map2, Plpp3, Gja1, Dcbld1, Kirrel3"
68,47b,Surface ectoderm (anterior),Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.0, E8.5, E9.0",4613,"Epcam, Slc2a3, Krt18, Emb, Wfdc2, Spint2, Slc2a1, Krt8, Etl4, Ikzf2","Dlk1, Trpm3, Has2, Nkx2-3, Socs2, Pcdh7, Otx2, Emb, Prkg1, Unc5c"
69,47c,Surface ectoderm (posterior),Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",2239,"Slc2a3, Epcam, Pdgfa, Krt18, Wnt6, Krt8, Hapln1, Spint2, Cldn6, Msx1","Msx1, Cdx2, Crabp1, Hoxaas3, S100a10, Phlda2, Pmp22, Hoxc8, Wnt6, Hapln1"
70,48,Trigeminal placode,Trigeminal placode,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",13443,"Igfbp2, Hapln1, Slc2a3, Sostdc1, S100a11, Epcam, Tpm1, Sema3a, Egr1, Wnt6","Igfbp2, Hapln1, Slc2a3, Ctnna2, Slit3, S100a10, S100a11, Sostdc1, Anxa2, Mt2"
71,49,Trigeminal sensory neuron,Trigeminal sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",6382,"Tubb3, Sdk1, Thsd7b, Neurod1, Nrg1, Ebf1, Isl1, Cadm1, Eya2, Kcnb2","Nrg1, Ccnd2, Peg3, Ntm, Ptprd, Robo2, Sdk1, Kif19a, Elavl2, Tfap2a"
72,50,Definitive endoderm,Definitive endoderm,Early,Endoderm,Endoderm,E7.5,235,"Emb, Car4, Slc16a1, Slc2a3, Trh, Krt18, Krt8, Epcam, Spink1, Cldn6","Trh, Sfrp1, Cer1, Car2, Eda, Kitl, Elmo1, Sox17, Krt8, Cd24a"
